content,label
"恭喜你，中奖了！请尽快联系客服领取奖品。",诈骗
"限时优惠，购买立减！错过不再有！",销售
"请转账到以下账号：1234567890，否则账户将被冻结。",诈骗
"会员专属折扣，快来抢购！仅限前100名。",销售
"您的银行卡有异常交易，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
"限时抢购，数量有限，快来抢购！错过不再有。",销售
"您的订单已发货，请注意查收。",非垃圾
"您的银行卡即将过期，请及时更新。",诈骗
"限时优惠，购买立减！错过不再有。",销售
"您的账号存在异常，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
"限时抢购，数量有限，快来抢购！错过不再有。",销售
"您的订单已发货，请注意查收。",非垃圾
"您的银行卡即将过期，请及时更新。",诈骗
"限时优惠，购买立减！错过不再有。",销售
"您的账号存在异常，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
"限时抢购，数量有限，快来抢购！错过不再有。",销售
"您的订单已发货，请注意查收。",非垃圾
"您的银行卡即将过期，请及时更新。",诈骗
"限时优惠，购买立减！错过不再有。",销售
"您的账号存在异常，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
"限时抢购，数量有限，快来抢购！错过不再有。",销售
"您的订单已发货，请注意查收。",非垃圾
"您的银行卡即将过期，请及时更新。",诈骗
"限时优惠，购买立减！错过不再有。",销售
"您的账号存在异常，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
"限时抢购，数量有限，快来抢购！错过不再有。",销售
"您的订单已发货，请注意查收。",非垃圾
"您的银行卡即将过期，请及时更新。",诈骗
"限时优惠，购买立减！错过不再有。",销售
"您的账号存在异常，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
"限时抢购，数量有限，快来抢购！错过不再有。",销售
"您的订单已发货，请注意查收。",非垃圾
"您的银行卡即将过期，请及时更新。",诈骗
"限时优惠，购买立减！错过不再有。",销售
"您的账号存在异常，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
"限时抢购，数量有限，快来抢购！错过不再有。",销售
"您的订单已发货，请注意查收。",非垃圾
"您的银行卡即将过期，请及时更新。",诈骗
"限时优惠，购买立减！错过不再有。",销售
"您的账号存在异常，请及时联系客服。",诈骗
"全场商品五折优惠，仅限今日！数量有限，先到先得。",销售
"您的验证码是123456，请勿泄露给他人。",诈骗
"新品上市，限时抢购！全场包邮。",销售
"点击链接领取优惠券，享受更多折扣。",销售
"您的账号存在安全风险，请及时处理。",诈骗
