label,message,msg_new
0,德国TWITTER骓特TW7900禧马诺30速双碟刹27,德国 TWITTER 骓 特 TW7900 禧 马诺 30 速 双碟 刹 27
0,它可以是艺术、商业、教学或是园艺,它 可以 是 艺术 、 商业 、 教学 或是 园艺
0,普通的防晒霜基本上xx几毫升就卖到了七八十块钱,普通 的 防晒霜 基本上 xx 几 毫升 就 卖 到 了 七八十 块钱
0,有种捡到宝的感觉～specialmango棒棒哒～有种类似菲律宾mangoshake的感觉,有种 捡 到 宝 的 感觉 ～ specialmango 棒棒 哒 ～ 有种 类似 菲律宾 mangoshake 的 感觉
0,曾经有一个银杏叶组成的心,曾经 有 一个 银杏叶 组成 的 心
0,因为一旦电梯不能正常工作或我们搭乘电,因为 一旦 电梯 不能 正常 工作 或 我们 搭乘 电
1,新生活美容养身会所为回馈新老顾客x   充值xxxx元赠送价值xxxx元话费x   充值xxxx元赠送价值xxxx元（x手机话费x,新 生活 美容 养身 会 所 为 回馈 新老 顾客 x       充值 xxxx 元 赠送 价值 xxxx 元 话费 x       充值 xxxx 元 赠送 价值 xxxx 元 （ x 手机 话费 x
0,并且我始终相信：不要质疑你的付出,并且 我 始终 相信 ： 不要 质疑 你 的 付出
0,这是由设计师Szotyńscy&amp,这 是 由 设计师 Szoty ń scy & amp
0,少林弟子组团进京举报释永信十宗罪,少林 弟子 组团 进京 举报 释永信 十宗 罪
0,就在科比踏上电梯前的那一刻,就 在 科比 踏上 电梯 前 的 那一刻
0,卸妝產品給丟了還省下了這些費用,卸妝產 品給 丟了 還省 下 了 這些 費用
0,已通车的418省道段这两天也装上了路灯,已 通车 的 418 省道 段 这 两天 也 装上 了 路灯
0,一些老建筑成为记忆中不可磨灭的印记,一些 老 建筑 成为 记忆 中 不可磨灭 的 印记
0,潜规则——微商从业人员必须知晓,潜规则 — — 微商 从业人员 必须 知晓
0,遗失一部苹果6PLUS手机,遗失 一部 苹果 6PLUS 手机
0,游客乘坐特别设计的双人浮圈,游客 乘坐 特别 设计 的 双人 浮圈
1,xxxx好项目，新模式，不囤货，零风险，二十一世纪电子商务，投资xxx，一年宝马开回家，了解 xxxxxxxxxxx 丁老师,xxxx 好 项目 ， 新 模式 ， 不 囤货 ， 零 风险 ， 二十一 世纪 电子商务 ， 投资 xxx ， 一年 宝马 开 回家 ， 了解   xxxxxxxxxxx   丁 老师
0,然而我百度了好久也不知道尹深是什么,然而 我 百度 了 好久 也 不 知道 尹深 是 什么
0,支持Chrome及Firefox的插件,支持 Chrome 及 Firefox 的 插件
0,每天都想给amazon购物推荐组合点赞的我……,每天 都 想 给 amazon 购物 推荐 组合 点赞 的 我 … …
0,常州火车站候车室竟然没有开空调,常州 火车站 候车室 竟然 没有 开 空调
0,面积在90平米以下并且是首套房的可以缴纳,面积 在 90 平米 以下 并且 是 首 套房 的 可以 缴纳
0,为什么腾讯还有网友们大肆吐槽,为什么 腾讯 还有 网友 们 大肆 吐槽
0,金阊新城将调整轨交6号线、新增轨交8号线,金 阊 新城 将 调整 轨交 6 号线 、 新增 轨交 8 号线
0,最后还是跑去DVF买了正价裙子,最后 还是 跑 去 DVF 买 了 正价 裙子
0,从封杀专车到这次央行新规对第三方支付的全面拦截,从 封杀 专车 到 这次 央行 新规 对 第三方 支付 的 全面 拦截
0,对于上海证券报的来历和背后不清楚者,对于 上海 证券报 的 来历 和 背后 不 清楚 者
0,即带头拆除违法建筑、带头搞好环境美化、带头组织发动群众参加“三四五”大会战,即 带头 拆除 违法 建筑 、 带头 搞好 环境 美化 、 带头 组织 发动群众 参加 “ 三 四五 ” 大会战
0,只能眼巴巴的看着即时股票池,只能 眼巴巴 的 看着 即时 股票 池
0,浩气单面人数200+恶人150+,浩气 单面 人数 200 + 恶人 150 +
0,手机急需拯救依旧帅哭我的撸呐,手机 急需 拯救 依旧 帅 哭 我 的 撸 呐
0,意大利设计师EmanueleMagini把足球球门和椅子融为一体,意大利 设计师 EmanueleMagini 把 足球 球门 和 椅子 融为一体
0,海航B5710飞机执行从徐州飞往深圳的航班,海航 B5710 飞机 执行 从 徐州 飞往 深圳 的 航班
0,「5576人在传看」深秋的怀念——史铁生,「 5576 人 在 传看 」 深秋 的 怀念 — — 史铁生
0,Swisse蔓越莓女性必备产品之一,Swisse 蔓越莓 女性 必备 产品 之一
0,其中中国的xx个运营中心与境外打通,其中 中国 的 xx 个 运营 中心 与 境外 打通
0,公司的报废汽车拆解基地目前回收过电动摩托车,公司 的 报废 汽车 拆解 基地 目前 回收 过 电动 摩托车
0,下载天天炫舞得到现金红包1,下载 天天 炫舞 得到 现金 红包 1
0,xxxx年萬錦鄉大部分范围改設萬錦镇,xxxx 年 萬錦鄉 大部分 范围 改設 萬錦镇
1,临本店消费包厢均可享受全场啤酒买三打送一打；二、凡当日光临本店消费包厢均可参与猜谜活动，猜中有奖，惊喜多多。（第一轮各房间派一名代表,临 本店 消费 包厢 均 可 享受 全场 啤酒 买 三打 送 一打 ； 二 、 凡 当日 光临 本店 消费 包厢 均 可 参与 猜谜 活动 ， 猜中 有奖 ， 惊喜 多多 。 （ 第一轮 各 房间 派 一名 代表
0,在徐州半年吃了人生中最多的油桃终于回到桃乡了,在 徐州 半年 吃 了 人生 中 最 多 的 油桃 终于 回到 桃乡 了
0,江苏常发制冷股份有限公司第四届董事会第二十二次会议决议公告,江苏 常发 制冷 股份 有限公司 第四届 董事会 第二十二次 会议 决议 公告
0,现微软员工人数增长了近25%,现 微软 员工 人数 增长 了 近 25%
0,3人民币45图3安耐晒160图4贵妇眼药水125图6fx眼药水45图7DHCcosme大赏第一睫毛增长液120图8眉毛定妆液55游场一天怕眉毛从D伯爵掉成白无常,3 人民币 45 图 3 安 耐晒 160 图 4 贵妇 眼药水 125 图 6fx 眼药水 45 图 7DHCcosme 大赏 第一 睫毛 增长 液 120 图 8 眉毛 定妆 液 55 游场 一天 怕 眉毛 从 D 伯爵 掉 成 白无常
0,还好医生阿姨细心的指导妈妈听,还好 医生 阿姨 细心 的 指导 妈妈 听
0,MicrosoftEdge浏览网页分分钟卡住……,MicrosoftEdge 浏览 网页 分 分钟 卡住 … …
0,做自己喜欢的自己～可以疲惫,做 自己 喜欢 的 自己 ～ 可以 疲惫
0,波点针织开衫有很好的防晒效果,波点 针织 开衫 有 很 好 的 防晒 效果
0,张紫嫣杀人偿命张晓妍也被你杀了杀人偿命死死刑,张紫嫣 杀人偿命 张晓妍 也 被 你 杀 了 杀人偿命 死 死刑
0,我刚才居然在百度贴吧搜到李子谢谢吧,我 刚才 居然 在 百度 贴 吧 搜到 李子 谢谢 吧
0,黑色阿里500元/250克,黑色 阿里 500 元 / 250 克
0,重磅的苏州高新和东风汽车跌惨了,重磅 的 苏州 高新 和 东风汽车 跌惨 了
0,昨日上午武汉地铁二号线洪山广场站又上演了一场“抢座位风波”,昨日 上午 武汉 地铁 二号线 洪山 广场 站 又 上演 了 一场 “ 抢 座位 风波 ”
0,百度新闻byBeijingBaiduNetcomScience&amp,百度 新闻 byBeijingBaiduNetcomScience & amp
0,我们眼中的泰州老街～因为“百姓日用即道”,我们 眼中 的 泰州 老街 ～ 因为 “ 百姓 日用 即道 ”
0,今天新奥燃气做客广播电视直播节目,今天 新奥 燃气 做客 广播电视 直播 节目
0,旅游完回来就去念破收个五七万小号,旅游 完 回来 就 去 念 破 收个 五七 万 小号
0,最大可能于10日后半夜到11日中午在瑞安到舟山一带沿海登陆,最大 可能 于 10 日 后半夜 到 11 日 中午 在 瑞安 到 舟山 一带 沿海 登陆
1,建行刘艳清xxxxxxxxxxxxxxxxxxx，交行刘艳清xxxxxxxxxxxxxxxxxxx，工行何程龙xxxxxxxxxxxx,建行 刘艳清 xxxxxxxxxxxxxxxxxxx ， 交行 刘艳清 xxxxxxxxxxxxxxxxxxx ， 工行 何程龙 xxxxxxxxxxxx
1,富人区金铺，谁比我价更低！三远集团xx周年感恩季，【龙江一号】劲爆优l惠献新春，店面特价xxxxx元每平米！详询xxxxxxx,富人 区 金铺 ， 谁 比 我价 更 低 ！ 三远 集团 xx 周年 感恩 季 ， 【 龙江 一号 】 劲 爆优 l 惠献 新春 ， 店面 特价 xxxxx 元 每平米 ！ 详询 xxxxxxx
1,Axxx大金空调举行“来就送、返现金、砸金蛋、赠豪礼”活动！热烈欢迎您来捡耙活！回复“参加”获取VlP号码，凭号码到现场领取礼品及享,Axxx 大金 空调 举行 “ 来 就 送 、 返 现金 、 砸 金蛋 、 赠豪礼 ” 活动 ！ 热烈欢迎 您 来 捡 耙 活 ！ 回复 “ 参加 ” 获取 VlP 号码 ， 凭 号码 到 现场 领取 礼品 及享
0,好声音中王飞雪的老公竟然是唐朝乐队的吉他手,好 声音 中王 飞雪 的 老公 竟然 是 唐朝 乐队 的 吉他手
0,GoogleEarth仍旧可以成为新的黑科技,GoogleEarth 仍旧 可以 成为 新 的 黑 科技
0,番外篇囧事全部发生在飞机上,番外篇 囧 事 全部 发生 在 飞机 上
0,以及巴克曼、巴巴卡等欧美非二流国家队边缘国脚,以及 巴克 曼 、 巴巴 卡 等 欧美 非 二流 国家队 边缘 国脚
0,阿里宣布补贴十亿进入线下商超业,阿里 宣布 补贴 十亿 进入 线下 商超业
0,MVP邀你来NBA姚明篮球俱乐部,MVP 邀 你 来 NBA 姚明 篮球 俱乐部
0,然后百度了一下发现真的是这样,然后 百度 了 一下 发现 真的 是 这样
0,好声音里我追的就是杰伦他说18岁的时候一直和方文山写歌那个时候没有人会用他的歌但是他不放弃一直写一直坚持,好 声音 里 我 追 的 就是 杰伦 他 说 18 岁 的 时候 一直 和 方文山 写歌 那个 时候 没有 人会用 他 的 歌 但是 他 不 放弃 一直 写 一直 坚持
0,深圳联通本地xG流量这么便宜了啊,深圳 联通 本地 xG 流量 这么 便宜 了 啊
0,恭喜我又一个徒弟拿到28天快速奖金,恭喜 我 又 一个 徒弟 拿到 28 天 快速 奖金
0,荣昌祥新风尚……欢迎咨询,荣昌 祥 新风尚 … … 欢迎 咨询
0,江苏中达新材料集团股份有限公司,江苏 中达 新 材料 集团股份 有限公司
0,再说江苏300多分就能上大学的都去死吧,再说 江苏 300 多分 就 能 上 大学 的 都 去死吧
0,并在常州地图上找到自己的归属地,并 在 常州 地图 上 找到 自己 的 归属 地
1,现有黑玛咖干果统货x吨，黄玛咖干果统货x吨，开年优惠出售，欢迎来电洽谈！马先均 xxxxxxxxxxx,现有 黑玛 咖 干果 统货 x 吨 ， 黄玛 咖 干果 统货 x 吨 ， 开年 优惠 出售 ， 欢迎 来电 洽谈 ！ 马先 均   xxxxxxxxxxx
0,等体内免疫系统将病毒驱逐干净,等 体内 免疫系统 将 病毒 驱逐 干净
0,中国自研大推力火箭发动机实物曝光,中国 自研大 推力 火箭 发动机 实物 曝光
0,大圣归来在腾讯视频陪我度过了36小时,大圣 归来 在 腾讯 视频 陪 我 度过 了 36 小时
0,爸爸去哪花儿少年花千骨跑男我一集都没看过可能是因为我老了,爸爸 去 哪 花儿 少年 花千骨 跑 男 我 一集 都 没 看过 可能 是因为 我 老 了
1,您好！欢迎致电峰明广告公司，我司专业制作各种广告牌，欢迎来到定做，电话：xxxxxxxx地址：汕头市潮南区司马浦镇小西乡乡道。,您好 ！ 欢迎 致电 峰明 广告公司 ， 我司 专业 制作 各种 广告牌 ， 欢迎 来到 定做 ， 电话 ： xxxxxxxx 地址 ： 汕头市 潮南区 司马 浦镇 小西 乡乡 道 。
0,就像不能向父母要好处费一样,就 像 不能 向 父母 要 好处费 一样
0,全新宝马Mx在设计上延续了M运动系列车型设计的精髓,全新 宝马 Mx 在 设计 上 延续 了 M 运动 系列 车型 设计 的 精髓
0,职工可向劳动部门依法投诉、举报,职工 可 向 劳动部门 依法 投诉 、 举报
0,只要是移动用户只要发送mf500到10086保证有惊喜/礼物/礼物/礼物,只要 是 移动用户 只要 发送 mf500 到 10086 保证 有 惊喜 / 礼物 / 礼物 / 礼物
1,尊敬的顾客您好，雪罗兰美容院三八节送礼啦，现只需xxx元即可享受原价xxx元，美容xx次，名额有限，快来抢购！联系热线xxxx--xxxxxxxxxxxxxxxxxxx,尊敬 的 顾客 您好 ， 雪 罗兰 美容院 三八节 送礼 啦 ， 现只 需 xxx 元 即可 享受 原价 xxx 元 ， 美容 xx 次 ， 名额有限 ， 快 来 抢购 ！ 联系 热线 xxxx -- xxxxxxxxxxxxxxxxxxx
0,关于调整工伤保险费率政策的通知,关于 调整 工伤 保险费率 政策 的 通知
0,Snapdeal的估值相关细节和新投资者所获的股权比例还不得而知,Snapdeal 的 估值 相关 细节 和 新 投资者 所获 的 股权 比例 还 不得而知
0,真实、真诚、真相三个“真”就足以完成曹寇小说的“操行评语”,真实 、 真诚 、 真相 三个 “ 真 ” 就 足以 完成 曹寇 小说 的 “ 操行 评语 ”
0,诺基亚用户用手机砸开了马达外罩开始修理,诺基亚 用户 用 手机 砸开 了 马达 外罩 开始 修理
0,给大家分享“PhilizzMediaIC,给 大家 分享 “ PhilizzMediaIC
0,国内一些插电混合动力汽车的充电率并不高,国内 一些 插电 混合 动力 汽车 的 充电 率 并 不 高
0,江苏常熟市燕经路蓝舰服装厂,江苏 常熟市 燕经路 蓝舰 服装厂
0,1、水、隔离乳或者霜：可以选择白、绿,1 、 水 、 隔离 乳 或者 霜 ： 可以 选择 白 、 绿
0,"""我是""""小汽车嘀嘀嘀马兰开花二十一""""""",""" 我 是 "" "" 小汽车 嘀嘀 嘀 马兰 开花 二十一 "" "" """
0,一是对整个金融体系的牵连会如何,一是 对 整个 金融体系 的 牵连 会 如何
0,转xxxxbigbang南京演唱会xxxx门票一张,转 xxxxbigbang 南京 演唱会 xxxx 门票 一张
0,南京玄武区住建局副调研员陈爱平要住酒店,南京 玄武区 住 建局 副 调研员 陈爱平 要 住 酒店
1,你一起，为您健康、美丽而努力！瑜伽、舞蹈、教练班，这里通通都有！新年教练班x.x折特惠！咨询电话：xxxxxxxxxxx,你 一起 ， 为 您 健康 、 美丽 而 努力 ！ 瑜伽 、 舞蹈 、 教练 班 ， 这里 通通 都 有 ！ 新年 教练 班 x . x 折 特惠 ！ 咨询电话 ： xxxxxxxxxxx
0,就使用我的邀请码bbu36d下载并登录浙江移动手机营业厅,就 使用 我 的 邀请 码 bbu36d 下载 并 登录 浙江 移动 手机 营业厅
0,第一名：天秤座财富来得比常人容易,第一名 ： 天秤座 财富 来得 比 常人 容易
0,可以购买江苏全省汽车站的车票,可以 购买 江苏 全省 汽车站 的 车票
0,凤凰网媒体：王健林夫人林宁涉嫌内幕交易获利70万,凤凰网 媒体 ： 王健林 夫人 林宁 涉嫌 内幕 交易 获利 70 万
0,之前居然有人肠胃炎要送医院,之前 居然 有人 肠胃炎 要 送 医院
0,哪怕是告诉我让我走法律诉讼,哪怕 是 告诉 我 让 我 走 法律 诉讼
0,共青团安徽驻浙江萧山团工委成立于2015年5月,共青团 安徽 驻 浙江 萧山 团工委 成立 于 2015 年 5 月
0,必须要移送有管辖权的司法机关追究刑事责任,必须 要 移送 有 管辖权 的 司法机关 追究 刑事责任
0,今天早上很早就乘坐飞机回北京,今天 早上 很 早就 乘坐 飞机 回 北京
