标签,邮件
1,女子闯红灯被拦 脱鞋猛抽交警-图[腾讯]-中国移动冲浪助手:http://go.10086.cn/nd/lAz/cJctr
1,新日电动车4月30至5月1文化广场大型特卖会，全场半价699元起，购车有礼，旧电动车旧家电均可以旧换新。询18950585318[菲迅咨询]
1,今天杭州发生一件很惨的事情！机场路附近一个小孩头被碾碎，详情点击http://wap.189hz.com/r/mYfAJz
1,吃饭。喝茶。逛街
1,尊敬的用户，恭喜您获得贵州联通“乐享0元秒杀 喜赢iphone5大礼”活动秒杀资格，请于今天下午15点整登录以下链接参与秒杀，iPhone5大奖和300M流量包等你来拿       http://gz.kk3g.net/i/1/w0he9TRs
1,"3 2本硕连读,商科管理专业方向;文理科学生均可报名;科大资深教授授课、双语教学；国外上百所名校自由选择；电话83201027【电子科大】"
1,"空传、进球、过人，年轻的激情尽情挥洒！2013年杭州经济技术开发区第五届佳得乐高校篮球联赛,期待你的参与！详见 http://10006.co/axjb"
1,郑容:顺续~你那边心里运动会的拉拉队名单和24号的4个同学今晚可以确定下来给我么
1,专业ISO认证咨询、验厂咨询、内外审员及管理培训 100通过性价比优 欧小姐18925399301 0760-88631851 中山康达信
1,您的手机铃音还是千篇一律的歌曲吗？太out啦，回复任意开通“个性化铃音”，可无限量制作自己的专属铃音，五元包月。拨1015558抢先体验
1,8月15-17日广州电子化学品展广交会馆举行，电子化学品金属净化、过滤技术先驱3M携低析出高过滤产品亮相，02089899213【振威展览】
1,华美人生，滨江传奇！东城央保利东江首府【紫江府】240-480方别墅热销，独享一线江景超大花园，四重园林五星物业八重安防32831888
1,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgw/QPMsw
1,运河苑温泉度假村淡季团队会议优惠价格现已全面推出，更有培训会议大包干（住宿+会议+用餐）。优惠不断，好事连连。张经理：13911268400
1,六.一曲江演出携手莱安集团邀您共享亲子时光：中国杂技团＂金小丑＂奖杂技剧《金小丑的梦》6月1日2日曲江国际会议中心，抢票热线81545309
1,聚焦17-19日，节能补贴倒计时，TCL千店联动抢王牌，国家补贴+厂家补贴+订金翻番，击穿价格底线，全面接受预订，询2025851【TCL】
1,5万抵20万限量预约！京西唯一浅山175-300平环景大宅，首发在即！【V7西园】浅山生活，邀您品鉴4006235965
1,王兰庄5月续保商业险最低可至7折力返15-20，送前4次三千元以下单方事故免现场报案定损，手续代办23019772、9321【海马汽车】
1,惊喜钜惠85折！80万，干脆买别墅！【碧桂园凰城】150-300平成品美墅开盘倒计时，五星酒店体验入住，更有水上高尔夫84738888
1,【联通热门应用推荐】疯狂斗地主(赢奖)――网络真人对战斗地主，体验秒杀对方的快感！免费下载:http://wostore.cn/I3IRFn
1,在线听歌、神曲下载、订购彩铃，还有什么爱音乐客户端不能满足？最好声音尽在爱音乐！http://189.3gbc.cn/d?a=az51901
1,【东莞愈兴事务所】工商注册、香港公司、记账报税、各项审计报告。咨询热线：15989905675，0769-33272362！生意兴隆！
1,房产汽车抵押贷款，注册资金增资垫资，企业个人过桥转贷，信用卡还款，代办银行贷款，利息低，出款快，闲钱托管！8876899【万泰投资】
1,3万㎡公园首排，宏瑞星城22#景观楼王压轴巨献，11层纯板楼，一梯两户，16.5超低公摊，121㎡舒适华宅82万起热销88956666
1,信达证券将于5月20日-24日发行信达创利1号，认购起点5万，一年期。预计年化收益率5.2。额度有限，正在热销中。详情咨询：3130128  3130169【信达证券】
1,郑州利星奔驰全新A级车新车发布会携同惊世座驾E300L豪华型“你开车我加油”团购火热进行中，18日三仟订金可直接抵贰万元油卡，19日三仟订金抵壹万元油卡详询郑文达13633842555【圃田奔驰广场】
1,十五小旁天山路与独山大道交会处精装写字楼，4270元/平起【华鑫国贸】24—26日3D玩偶秀上演63028599/88/66【万家园地产】
1,【无限棋牌】金币狂潮再次来袭！每日首次登陆免费送金币。更有智能手机免费抢！http://mbox.i139.cn/wxqphd
1,亲爱的业主，哥本哈根地下车位可以分期了，首付仅需39900。详情咨询农行客户经理罗嵩电话15566168857【哥本哈根】
1, 美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/11u7Ur
1,沪深A股双向交易平台可买涨、买跌当天随时买进卖出，获利提速，资金杠杆100倍，入金即送8！详情登入700999.com查看
1,贺昨日客户建的【万泽股份】高开大涨6！庆五一公司现对散户作出巨大优惠，限前30名散户！建仓专线：4000866895【鼎兴基金】
1,看万达豪宅，赢豪华大礼！凡5月18日至19日至万达公馆售楼处并参观奢装样板房，即可参加整点抽奖，现场还可品美食！询28688888【万达】
1,钻石优惠券限时送，最后两天，点击即领。http://jiayuan.cn/rmznqr .【世纪佳缘】
1,南京华美整形美容医院5月优惠季4月25日正式启动！全场低至5折！36天与您疯狂塑美！中韩顶级专家任您钦点！咨询02583336888（手机报
