label,message
spam,有情之人，天天是节。一句寒暖，一线相喧；一句叮咛，一笺相传；一份相思， 一心相盼；一份爱意，一生相恋。 搜寻201:::http://201.855.com 在此祝大家七夕情人快乐! 搜寻201友情提示::: 2005年七夕情人节：8月11日――别忘了给她（他）送祝福哦！
spam,"我司是一家实业贸易定税企业；有余额票向外开 费用相对较低，此操作方式可以为贵公司（工厂） 节约部分税金。 公司本着互利互惠的原则,真诚期待你的来电!!! 联系: 王生   TEL: --13528886061"
spam,"本公司有部分普通发票（商品销售发票）增值税发票及海关代征增值税专用缴款书及其它服务行业发票, 公路、内河运输发票。可以以低税率为贵公司代开，本公司具有内、外贸生意实力，保证我司开具的票据的真实性。 希望可以合作!共同发展!敬侯您的来电洽谈、咨询！ 联系人：李先生      联系电话：13632588281 如有打扰望谅解，祝商琪。"
spam,"来京记得找我啊 我社为您提供优惠的旅游价格，如酒店、机票、火车票、北京地接 在线咨询：QQ:305652179,欢迎您留言 MSN：yezikao8855@hotmail.com 邮件回复：yezikao8855@163.com 这是一封广告信，由此给您带来不变请谅解 2005-8-19"
spam,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999
spam,您好！ 我公司可代开商品销售、运输业、建筑安装业、广告业、服务业等发票，税务局验后付款。 联系人：关先生 电话： 13430724013
spam,按这里进入，与众多美女激情视频！
spam,"在这里您也许能够找到您苦苦追寻的程序代码,这些代码的价值远远超过 本身的价格,如果您是此道中人,可以一看. 一切尽在 http://code.email888.net 如果您非coding人员,请随手删除该邮件"
spam,贵公司负责人：你好！ 本公司(祥泰实业有限公司）具有良 好有的进口来源，有剩余的发票及广泛的网 络可为贵公司谋利获得双嬴，本公司原则是 满意付款。有诚意来电洽商。 电  话：013631690076 邮  箱：shitailong-9688@163.com 联系人：郭 生
spam,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999
spam,"本公司有部分普通发票（商品销售发票）增值税发票及海关代征增值税专用缴款书及其它服务行业发票, 公路、内河运输发票。可以以低税率为贵公司代开，本公司具有内、外贸生意实力，保证我司开具的票据的真实性。 希望可以合作!共同发展!敬侯您的来电洽谈、咨询！ 联系人：李先生      联系电话：13632588281 如有打扰望谅解，祝商琪。"
spam,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999
spam,北京白领生活广场，www.city365.cn/  www.city365.com.cn 可以查到北京的吃喝玩乐信息 北京相关生活资讯 美容院，健身房，餐饮，KTV，度假村，京郊景点，商场打折，优惠券。。。。。。 另外网站招幕兼职版主，500---3000元/月 要求有女性，餐饮，户外活动类版主经验 有意向能胜任者请尽快与我们联络：bbs2@city365.cn
spam,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999
spam,"我司是一家实业贸易定税企业；有余额票向外开 费用相对较低，此操作方式可以为贵公司（工厂） 节约部分税金。 公司本着互利互惠的原则,真诚期待你的来电!!! 联系: 王生   TEL: --13528886061"
spam,您好！ 我公司有多余的发票可以向外代开！（国税、地税、运输、广告、海关缴款书）。 如果贵公司（厂）有需要请来电洽谈、咨询！ 联系电话：(0)13510614952 吴小姐 谢谢！ 顺祝商祺!
spam,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999
spam,本公司主营国际、国内飞机票、包定国内外酒店，服务热情周到，北京四环以内 免 费送票上门，足不出户。机票送到；服务热忱，方便快捷。 网址：http://hmfjp.vicp.net 邮箱：htm308@163.com 地址：北京市朝阳区建国路98号 联系电话：010-85891286\85891055 联系人：李小姐
spam,联系电话：64751818 联系人：杨经理
spam,"公司负责人: 你们好!我们是一家专业代理公司,现在有多余发票可以向外优惠代开.具体如下: 增 值 税发票 普通国税发票 普通地税发票 部分发票可以先验证后付款,欢迎来电咨询!谢谢 联 系 人:杜圣坤 联系电话:13692124666"
